"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.98828125,1,1,1,1,1,0.997963858488165,0.998655311519498,0.998412068281064,0.999470432480141
"2",0.984615384615385,0.986394557823129,0.98744769874477,0.993311036789298,0.989417989417989,0.98744769874477,0.989266547406082,0.990595611285266,0.989913544668588,0.987129987129987
"3",0.990909090909091,0.995515695067265,0.996212121212121,0.995594713656388,0.996491228070175,0.996978851963746,0.995732574679943,0.9984375,0.996865203761755,0.995678478824546
"4",0.993288590604027,0.996545768566494,0.997734994337486,1,0.998689384010485,1,1,0.999279192695819,0.999354283254412,1
"5",1,1,0.999352331606218,1,1,1,1,1,1,1
"6",0.973684210526316,0.87037037037037,0.971119133574007,0.936224489795918,0.924124513618677,0.979452054794521,0.914666666666667,1,1,1
"7",0.0526315789473684,0.0694444444444444,0.560975609756098,0.459016393442623,0.395061728395062,0.564516129032258,0.350877192982456,0.374045801526718,0.414285714285714,0.406451612903226
"8",0.927536231884058,0.965753424657534,0.960698689956332,0.964071856287425,0.974178403755869,0.973733583489681,0.98256735340729,0.982264665757162,0.966745843230404,0.96723044397463
"9",0.894736842105263,0.788461538461538,0.72972972972973,0.986666666666667,0.979166666666667,0.973451327433628,0.991935483870968,1,0.993710691823899,0.994117647058824
"10",0.0526315789473684,0.0416666666666667,0.292682926829268,0.524590163934426,0.567901234567901,0.354838709677419,0.614035087719298,0.610687022900763,0.571428571428571,0.593548387096774
"11",0.986590038314176,1,1,1,1,0.998503442083209,0.998477157360406,0.998672859986729,0.998831092928112,0.999297259311314
"12",0.984126984126984,0.986577181208054,0.982832618025751,0.986798679867987,0.9923273657289,0.989775051124744,0.991212653778559,0.989263803680982,0.987430167597765,0.993662864385298
"13",0.991304347826087,1,0.993939393939394,0.995594713656388,0.996428571428571,0.994475138121547,0.997734994337486,0.996437054631829,0.99718045112782,0.995833333333333
"14",0.996124031007752,0.996491228070175,0.99672131147541,0.9975,1,0.99830985915493,0.99803343166175,1,1,1
"15",1,1,1,0.999761051373955,0.999082737112456,1,1,1,1,1
"16",0.973333333333333,0.969230769230769,0.944250871080139,0.938144329896907,0.94047619047619,0.923202614379085,0.920529801324503,1,1,0.990566037735849
"17",0.0448717948717949,0.0392749244712991,0.0115810674723061,0.0626450116009281,0.411111111111111,0.333333333333333,0.333333333333333,0.358208955223881,0.409722222222222,0.4
"18",0.895522388059702,0.946308724832215,0.977777777777778,0.973760932944606,0.977168949771689,0.977570093457944,0.985645933014354,0.98489010989011,0.996309963099631,0.992063492063492
"19",0.944444444444444,0.933333333333333,0.73972602739726,0.960526315789474,0.989010989010989,0.990384615384615,0.991596638655462,0.992647058823529,1,0.993939393939394
"20",0.0448717948717949,0.0483383685800604,0.0125881168177241,0.0835266821345708,0.577777777777778,0.648148148148148,0.649122807017544,0.626865671641791,0.590277777777778,0.59375
"21",0.986512524084778,1,1,1,0.99536045681656,0.99767644496079,1,0.998449612403101,1,1
"22",0.982758620689655,0.979166666666667,0.995475113122172,0.996539792387543,0.991689750692521,0.989316239316239,0.990925589836661,0.963246554364472,0.96100278551532,0.985879332477535
"23",1,1,1,1,1,1,0.995110024449878,0.995789473684211,0.996466431095406,0.998338870431894
"24",0.991769547325103,0.998263888888889,0.998893805309734,1,0.999368686868687,1,0.998867817718653,1,0.999333629498001,1
"25",1,1,1,1,1,0.999698249849125,1,1,1,1
"26",0.961038961038961,0.989847715736041,0.985401459854015,0.944020356234097,0.937621832358674,0.981099656357388,0.917431192660551,1,0.986842105263158,1
"27",0.05,0.0774193548387097,0.621621621621622,0.0688775510204082,0.402298850574713,0.336633663366337,0.352380952380952,0.35,0.395522388059701,0.38255033557047
"28",0.914285714285714,0.961038961038961,0.97071129707113,0.971751412429379,0.978165938864629,0.976827094474153,0.978883861236802,0.982288828337875,0.99057714958775,0.994487320837927
"29",0.944444444444444,0.951219512195122,0.706666666666667,0.987012987012987,0.969387755102041,0.990654205607477,0.548837209302326,0.542857142857143,0.846590909090909,0.971098265895954
"30",0.0571428571428571,0.0967741935483871,0.27027027027027,0.0892857142857143,0.563218390804598,0.623762376237624,0.619047619047619,0.625,0.582089552238806,0.590604026845638
"31",0.98876404494382,1,0.995614035087719,1,1,1,1,0.998667554963358,0.999011466982997,0.999323981747507
"32",1,0.992857142857143,0.995652173913044,0.993288590604027,0.994708994708995,0.993630573248408,0.99644128113879,0.992283950617284,0.986091794158554,0.960591133004926
"33",0.975,1,1,1,1,0.997183098591549,0.992941176470588,0.996791443850267,0.993456924754635,0.996360327570519
"34",0.990616621983914,0.998233215547703,1,1,1,0.99942726231386,1,1,1,1
"35",0.99888765294772,1,1,1,1,1,1,1,0.999891316161287,0.999907774601125
"36",0.974025974025974,0.979695431472081,0.97841726618705,0.938095238095238,0.933333333333333,0.924920127795527,1,1,1,1
"37",0.0507246376811594,0.0100463678516229,0.48936170212766,0.0717948717948718,0.404494382022472,0.371428571428571,0.408695652173913,0.375,0.415492957746479,0.414012738853503
"38",0.926470588235294,0.954838709677419,0.975,0.963068181818182,0.977728285077951,0.976363636363636,0.976958525345622,0.983739837398374,0.992471769134254,0.98590021691974
"39",0.138613861386139,1,0.981132075471698,0.987179487179487,0.989473684210526,1,0.921259842519685,1,0.986928104575163,0.987878787878788
"40",0.0579710144927536,0.0123647604327666,0.446808510638298,0.0948717948717949,0.584269662921348,0.60952380952381,0.582608695652174,0.6171875,0.577464788732394,0.585987261146497
"41",0.988527724665392,1,0.995744680851064,0.991019308486753,0.996779964221825,0.997587454764777,0.998964803312629,0.998896734333628,0.998418972332016,0.999118787451533
"42",0.983050847457627,1,0.995535714285714,0.98989898989899,0.994579945799458,0.99581589958159,0.989473684210526,0.98936170212766,0.990291262135922,0.962358845671267
"43",1,1,1,1,1,0.997206703910615,0.988505747126437,0.994366197183099,0.997787610619469,0.996825396825397
"44",0.993324432576769,1,0.997892518440464,1,1,1,0.998574144486692,0.999520153550864,1,1
"45",1,1,1,1,1,1,1,1,1,1
"46",0.9625,0.980676328502415,0.939799331103679,0.933179723502304,0.99154334038055,0.991379310344828,0.986244841815681,1,1,1
"47",0.0298507462686567,0.0656934306569343,0.0753138075313808,0.0490654205607477,0.056710775047259,0.306930693069307,0.342592592592593,0.37007874015748,0.368421052631579,0.364238410596026
"48",0.942028985507246,0.968152866242038,0.959677419354839,0.982195845697329,0.94273127753304,0.96283185840708,0.982785602503912,0.983827493261456,0.990361445783133,0.990142387732749
"49",0.122641509433962,1,0.698630136986301,0.987012987012987,0.989247311827957,0.990384615384615,0.913385826771654,0.745664739884393,1,0.982248520710059
"50",0.0522388059701493,0.116788321167883,0.100418410041841,0.0934579439252336,0.100189035916824,0.653465346534653,0.638888888888889,0.622047244094488,0.609022556390977,0.615894039735099
"51",0.988439306358382,0.991197183098592,0.982624599908551,0.994739149495835,0.994594594594595,0.996952148735142,0.998017348203222,1,0.998655655847897,1
"52",0.981132075471698,0.992063492063492,0.990291262135922,0.989090909090909,0.991666666666667,0.993421052631579,0.990757855822551,0.984202211690363,0.985632183908046,0.992084432717678
"53",1,1,1,1,1,1,0.988610478359909,0.995633187772926,0.988461538461539,1
"54",0.994652406417112,1,0.9976717112922,0.998286203941731,1,1,1,1,1,1
"55",1,1,1,1,1,0.999847931873479,1,1,1,1
"56",0.951219512195122,0.930875576036866,0.978260869565217,0.934673366834171,0.919291338582677,0.915064102564103,0.923489932885906,0.985294117647059,0.930332261521972,1
"57",0.0141843971631206,0.0575539568345324,0.548387096774194,0.0603674540682415,0.58,0.321100917431193,0.347457627118644,0.361538461538462,0.375,0.384146341463415
"58",0.929577464788732,0.957055214723926,0.964980544747082,0.963483146067416,0.980088495575221,0.961605584642234,0.983128834355828,0.990331491712707,0.961117861482382,0.991285403050109
"59",0.122641509433962,0.846153846153846,0.72972972972973,0.808080808080808,0.98,1,1,0.977777777777778,0.987012987012987,0.971098265895954
"60",0.0709219858156028,0.115107913669065,0.354838709677419,0.112860892388451,0.28,0.642201834862385,0.610169491525424,0.623076923076923,0.597222222222222,0.597560975609756
"61",0.99236641221374,0.991296779808529,0.991836734693878,1,0.995886184436064,0.99566974595843,0.997950819672131,0.998258977149075,0.999407816818002,1
"62",0.964285714285714,0.9921875,0.995192307692308,0.993006993006993,0.989304812834225,0.993435448577681,0.992700729927007,0.992101105845182,0.988652482269504,0.963383838383838
"63",1,1,1,1,1,1,0.992874109263658,0.989974937343358,0.996402877697842,0.991097922848665
"64",0.997267759562842,0.998233215547703,1,1,1,0.997313272434175,0.999036144578313,1,0.999274047186933,1
"65",1,1,1,1,1,0.999847514486124,0.999856115107914,0.999756572541383,1,0.999908315760521
"66",0.949367088607595,0.99,0.975862068965517,0.987113402061856,0.929856115107914,0.918138041733547,1,1,1,1
"67",0.0205479452054795,0.0313588850174216,0.395348837209302,0.353846153846154,0.545454545454545,0.597014925373134,0.390909090909091,0.3984375,0.41304347826087,0.41025641025641
